ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
---------  --------  ----------  ----------  ----  ----
JFFBF87CA  13-04     895(1055)   43(37)      28.5  20.9
NFFBF57CA  18-09     1280(1470)  41(36)      40.3  31.2
IFFBF96CA  13-01     1550(1730)  45(41)      42.2  34.6
NFFBF38CA  18-01     1155(1280)  46(33)      39.3  25.3
PFFBF18DA  20-10     1480(1730)  50(42)      41.5  29.7
HFFBF47CA  12-12     1315(1485)  41(38)      39.5  31.9
MFFBF18CA  17-04     885(1110)   36(29)      37.7  24.6
NFFBF87CA  18-04     1220(1220)  32(32)      37.9  37.9
KFFBF28CA  15-05     1198(1403)  47(39)      36.2  25.5
JFFBF67CA  13-03     1430(1430)  38(38)      37.9  37.9
PFFBF48CA  20-03     1200(1200)  33(33)      36.2  36.2
IFFBF87CA  13-05     1373(1373)  41(41)      33.3  33.3
MFFBF38CA  17-03     1295(1520)  42(34)      45.0  30.5
IFFBF18CA  13-07     1031(1031)  45(45)      23.0  23.0
LFFBF77CA  16-09     1244(1469)  39(33)      45.0  31.9
OFFBF28CA  19-11     1040(1040)  43(43)      24.1  24.1
HFFBF28CA  12-08     1391(1391)  37(37)      38.1  38.1
PFFBF48CA  19-12     1280(1500)  46(36)      41.6  28.1
KFFBF48CA  15-05     1751(1966)  45(40)      49.1  39.1
IFFBF77CA  13-10     1359(1539)  44(40)      38.4  31.1
LFFBF28CA  16-11     960(960)    41(41)      23.6  23.6
KFFBF77CA  15-05     1530(1735)  48(41)      42.5  31.9
OFFBF77CA  19-11     1769(1989)  46(38)      52.3  38.7
OFFBF38CA  19-07     1330(1330)  39(39)      34.5  34.5
PFFBF08CA  19-12     1288(1498)  47(39)      38.2  27.5
OFFBF87DA  19-01     1380(1580)  38(34)      46.0  36.2
HFFBF17CA  12-10     1265(1430)  37(30)      47.2  34.6
HFFBF27CA  12-11     1446(1596)  43(41)      39.4  34.0
JFFBF77CA  13-03     902(1062)   42(36)      29.1  21.4
PFFBF08CA  19-12     1778(1998)  46(38)      52.3  38.7
MFFBF08CA  17-02     1565(1760)  44(36)      48.8  35.9
IFFBF77CA  13-04     1228(1228)  41(41)      30.2  30.2
MFFBF28CA  17-03     943(1158)   38(31)      37.7  24.6
HFFBF37CA  12-09     1137(1227)  33(31)      40.1  34.2
PFFBF48CA  20-01     1278(1508)  45(36)      41.6  28.1
KFFBF48CA  15-06     1755(1980)  45(40)      49.7  39.0
LFFBF08CA  16-09     1286(1511)  40(34)      45.0  31.9
JFFBF08CA  13-03     1275(1435)  42(38)      37.9  30.3
LFFBF78CA  16-05     1084(1084)  42(42)      26.0  26.0
HFFBF17CA  12-10     851(981)    45(41)      24.2  18.9
IFFBF07DA  13-08     1076(1076)  45(45)      24.1  24.1
LFFBF47CA  16-09     1273(1473)  40(33)      44.4  31.9
HFFBF27CA  12-11     1440(1585)  42(40)      39.4  34.0
PFFBF18CA  20-01     1268(1468)  45(35)      41.6  28.1
KFFBF08CA  15-05     1500(1705)  47(40)      42.5  31.9
JFFBF87DA  14-05     1350(1350)  45(45)      30.2  30.2
HFFBF97DA  12-07     1265(1440)  42(38)      37.8  30.2
OFFBF97CA  19-01     1180(1180)  37(37)      32.3  32.3
KFFBF18CA  15-06     1707(1922)  44(39)      49.5  38.8
PFFBF18CA  19-11     1260(1470)  45(35)      41.6  28.1
PFFBF58CA  19-03     978(1168)   42(35)      33.1  23.3
HFFBF47CA  12-09     1288(1428)  44(41)      34.5  29.2
JFFBF97CA  13-03     898(898)    43(43)      20.9  20.9
OFFBF98CA  19-07     1360(1585)  40(35)      45.5  34.0
HFFBF47CA  12-10     1281(1281)  42(42)      30.2  30.2
LFFBF18CA  16-04     1300(1300)  36(36)      36.3  36.3
PFFBF58CA  20-02     1438(1668)  42(37)      45.5  34.0
PFFBF56DA  20-08     1320(1320)  36(36)      36.2  36.2
PFFBF58CA  19-12     1728(1958)  45(37)      52.3  38.7
IFFBF38CA  13-07     1580(1580)  41(41)      38.4  38.4
LFFBF08CA  15-12     1006(1221)  39(34)      36.0  26.0
PFFBF88CA  19-10     958(1158)   41(35)      33.2  23.4
HFFBF77CA  12-09     1598(1808)  40(35)      51.2  39.5
KFFBF47CA  15-10     1130(1130)  43(43)      26.0  26.0
JFFBF47CA  13-03     1400(1400)  39(39)      36.1  36.1
OFFBF28CA  19-05     1240(1450)  47(35)      42.0  26.2
PFFBF08CA  20-02     1310(1310)  38(38)      34.3  34.3
KFFBF77CA  15-11     1220(1220)  46(46)      26.8  26.8
HFFBF47CA  12-08     1385(1385)  38(38)      36.2  36.2
JFFBF97CA  13-04     1098(1098)  40(40)      27.4  27.4
IFFBF97CA  13-05     1535(1535)  40(40)      38.6  38.6
IFFBF57CA  13-01     1358(1538)  43(39)      39.5  31.9
KFFBF18CA  15-03     1400(1400)  41(41)      34.5  34.5
PFFBF68CA  20-01     1775(1985)  46(38)      52.3  38.7
HFFBF58CA  12-08     1406(1406)  38(38)      37.0  37.0
PFFBF09CA  20-02     1268(1468)  41(36)      40.8  31.0
KFFBF78CA  15-06     1188(1393)  47(39)      35.5  25.5
HFFBF97CA  12-10     1277(1432)  37(31)      46.4  34.6
LFFBF67CA  16-01     1090(1090)  45(45)      24.1  24.1
OFFBF28CA  19-04     1182(1182)  38(38)      31.3  31.3
JFFBF08CA  14-06     1600(1600)  42(42)      37.9  37.9
IFFBF08CA  13-08     1575(1575)  42(42)      37.6  37.6
JFFBF18CA  14-07     1805(2015)  46(42)      48.0  39.2
IFFBF18CA  13-06     1430(1640)  43(40)      40.8  33.3
IFFBF87CA  13-03     1330(1330)  42(42)      32.0  32.0
KFFBF48DA  15-05     825(825)    40(40)      20.6  20.6
KFFBF77CA  15-08     1715(1930)  44(39)      49.7  39.1
PFFBF78CA  19-12     1282(1502)  41(37)      40.8  31.0
NFFBF28CA  18-09     1398(1588)  45(39)      40.3  31.2
MFFBF68CA  17-05     955(955)    39(39)      24.6  24.6
KFFBF78CA  15-07     1669(1874)  43(38)      49.7  39.0
JFFBF28CA  13-03     878(1013)   41(35)      29.1  21.4
PFFBF88CA  19-12     1385(1610)  41(35)      45.5  34.0
PFFBF88CA  20-02     1250(1250)  33(33)      37.9  37.9
PFFBF58CA  19-12     1400(1585)  49(38)      41.3  28.6
IFFBF28CA  13-03     1290(1290)  34(34)      37.6  37.6
MFFBF68CA  17-03     993(1208)   40(33)      37.1  24.6
NFFBF56CA  18-06     1050(1050)  34(34)      31.2  31.2
KFFBF98CA  15-08     726(726)    41(41)      17.5  17.5
JFFBF67CA  14-03     1350(1350)  40(40)      33.6  33.6
JFFBF67CA  13-03     1308(1308)  36(36)      36.1  36.1
OFFBF18CA  19-10     1255(1475)  45(35)      41.6  28.1
LFFBF77CA  16-09     1300(1510)  41(34)      45.0  31.9
NFFBF78CA  18-05     1360(1360)  38(38)      36.1  36.1
HFFBF68CA  12-08     1305(1305)  36(36)      36.2  36.2
IFFBF87CA  13-05     1316(1496)  46(39)      38.6  28.6
HFFBF47CA  12-07     1250(1430)  41(37)      38.4  30.2
KFFBF38CA  15-07     1658(1863)  43(37)      49.7  39.0
IFFBF97CA  13-04     1349(1499)  42(39)      38.4  32.0
KFFBF38CA  15-05     1175(1175)  45(45)      26.0  26.0
PFFBF98CA  20-01     965(1135)   42(36)      31.8  22.8
IFFBF28CA  13-03     1390(1560)  41(38)      41.2  33.6
OFFBF56CA  19-07     1725(1925)  44(36)      53.7  39.4
HFFBF78CA  12-08     1330(1330)  37(37)      36.2  36.2
KFFBF48CA  15-05     1535(1740)  48(41)      42.5  31.9
IFFBF38CA  13-05     1448(1658)  43(41)      40.8  33.3
OFFBF78CA  19-11     1276(1516)  45(36)      41.6  28.1
PFFBF09CA  19-05     980(1170)   43(36)      32.5  22.8
PFFBF17DA  20-05     970(1170)   43(36)      32.5  22.8
OFFBF88CA  19-11     1778(1998)  45(37)      53.7  39.4
JFFBF68CA  13-07     975(1200)   47(40)      29.8  20.9
OFFBF76CA  19-04     1188(1398)  45(33)      42.0  26.2
IFFBF88CA  13-05     1385(1545)  41(37)      41.8  33.6
NFFBF67DA  18-02     810(810)    38(38)      21.4  21.4
HFFBF96EA  12-03     1272(1452)  42(38)      38.4  30.2
MFFBF47CA  17-10     1196(1196)  33(33)      36.8  36.8
MFFBF08CA  17-06     866(866)    34(34)      25.5  25.5
IFFBF07CA  13-11     1110(1110)  41(41)      27.2  27.2
KFFBF37CA  14-12     1257(1407)  34(27)      51.3  36.6
HFFBF07CA  12-06     1177(1307)  41(38)      34.5  28.4
NFFBF38CA  18-01     1150(1295)  45(33)      39.3  25.3
MFFBF97CA  17-01     920(1115)   37(30)      37.1  24.6
HFFBF08DA  12-07     1394(1579)  41(35)      45.7  34.0
IFFBF67CA  13-02     1511(1681)  42(38)      44.6  35.6
HFFBF27CA  12-09     1140(1230)  34(31)      39.8  33.9
NFFBF08CA  18-10     1485(1700)  48(42)      40.3  31.2
KFFBF97DA  15-01     1366(1366)  38(38)      35.7  35.7
NFFBF08CA  18-01     1165(1300)  44(32)      40.3  26.3
HFFBF28CA  12-08     1371(1371)  38(38)      36.2  36.2
JFFBF97CA  14-02     1310(1310)  38(38)      34.3  34.3
IFFBF97CA  13-03     1245(1245)  41(41)      30.2  30.2
MFFBF37CA  16-12     1425(1660)  45(37)      45.0  31.9
KFFBF17CA  15-08     1180(1180)  34(34)      34.6  34.6
KFFBF87CA  15-07     1055(1250)  50(40)      31.2  21.2
MFFBF18CA  17-06     907(907)    36(36)      25.4  25.4
IFFBF87CA  13-07     1349(1519)  45(41)      37.1  29.8
NFFBF48CA  18-02     1173(1298)  46(33)      39.5  25.5
HFFBF37CA  12-11     840(985)    44(41)      24.2  18.9
HFFBF18DA  12-08     1230(1350)  45(41)      33.3  27.1
PFFBF28DA  20-10     1316(1546)  49(40)      38.3  26.6
HFFBF57CA  12-12     915(915)    44(44)      20.9  20.9
MFFBF38CA  17-05     1330(1330)  34(34)      39.3  39.3
NFFBF68CA  18-02     1168(1168)  46(46)      25.5  25.5
IFFBF47CA  13-09     1290(1290)  38(38)      34.3  34.3
IFFBF67CA  12-12     1470(1660)  42(39)      42.2  34.6
