ID         交易年月  總價(含車)  單價(含車)  權狀   建坪
---------  --------  ----------  ----------  -----  ----
IFFBF27CA  13-01     3284(3479)  50(46)      75.4   65.7
LFFBF37CA  15-12     3020(3420)  44(41)      84.2   68.2
IFFBF08CA  13-06     4050(4450)  58(56)      79.9   69.4
IFFBF08CA  13-05     3468(3808)  49(48)      79.5   70.5
JFFBF47CA  14-03     3510(3510)  53(53)      66.1   66.1
OFFBF28CA  18-12     2275(2520)  41(36)      69.5   55.9
MFFBF18CA  17-02     4535(4983)  60(50)      99.3   75.7
NFFBF58CA  18-03     3235(3690)  49(41)      89.9   65.9
IFFBF97CA  13-02     2756(3116)  49(41)      75.5   56.0
IFFBF08CA  13-01     2587(2747)  50(45)      61.7   52.0
OFFBF09CA  19-07     2830(2830)  40(40)      71.2   71.2
LFFBF87CA  16-06     3612(4102)  50(40)      101.4  72.2
OFFBF77CA  18-11     2748(2978)  45(41)      73.1   61.1
NFFBF77CA  18-01     2580(2800)  47(41)      67.6   55.3
NFFBF57CA  17-08     4950(5430)  62(51)      106.0  79.9
KFFBF47CA  15-11     2300(2300)  37(37)      61.8   61.8
LFFBF47CA  16-03     4065(4445)  54(45)      98.6   74.9
IFFBF47CA  13-03     2469(2909)  47(41)      71.8   52.3
MFFBF37CA  17-08     2200(2200)  35(35)      62.9   62.9
KFFBF77CA  15-03     3688(4126)  59(48)      86.1   62.1
NFFBF18CA  18-03     3462(3712)  48(43)      86.7   72.2
OFFBF38CA  19-04     2185(2400)  39(35)      68.9   55.4
JFFBF18CA  14-06     3184(3390)  56(50)      68.2   57.0
NFFBF78CA  18-02     3375(3790)  51(42)      90.5   66.8
IFFBF97CA  13-01     2572(2891)  49(40)      72.3   52.8
OFFBF88CA  19-03     2320(2550)  42(37)      69.5   55.9
OFFBF09CA  19-06     2440(2650)  43(38)      69.0   56.7
JFFBF18CA  14-11     3367(3776)  54(44)      85.9   61.9
IFFBF28CA  13-01     2654(3094)  47(41)      75.5   56.1
NFFBF77CA  17-11     3220(3680)  44(38)      97.1   72.5
MFFBF77CA  17-03     3920(4280)  54(45)      94.3   72.4
IFFBF77CA  13-07     2484(2664)  45(41)      65.5   55.8
NFFBF97CA  17-11     3180(3400)  47(43)      79.3   67.0
KFFBF57CA  13-12     3705(3905)  46(44)      88.5   79.7
OFFBF48CA  19-06     3012(3442)  42(36)      96.2   71.6
JFFBF57CA  14-11     3604(4020)  58(47)      86.1   62.1
OFFBF48CA  19-02     2579(3029)  42(35)      86.1   62.1
IFFBF18CA  13-05     3250(3430)  53(52)      66.1   60.9
IFFBF97CA  13-04     3180(3500)  48(41)      85.3   65.9
KFFBF08CA  15-11     4640(5030)  62(51)      98.6   74.9
NFFBF98DA  18-05     3220(3450)  47(44)      78.3   68.0
IFFBF08CA  13-02     2589(2754)  50(45)      61.3   51.6
OFFBF98CA  19-03     2698(2938)  45(41)      71.1   59.3
IFFBF38CA  13-01     2739(3139)  49(42)      75.5   56.1
IFFBF57CA  13-01     2998(3188)  51(47)      68.1   58.4
OFFBF97CA  19-05     2200(2200)  36(36)      61.7   61.7
OFFBF48CA  19-06     2340(2575)  42(37)      69.5   55.9
OFFBF08CA  18-12     2628(2838)  40(37)      76.9   64.9
