ID         交易年月  總價(含車)    單價(含車)  權狀   建坪 
---------  --------  ------------  ----------  -----  -----
KFFBF67CA  15-10     5290(5950)    48(44)      136.3  109.8
PFFBF98DA  20-06     6763(7658)    53(44)      172.5  127.1
KFFBF87CA  14-12     3707(3707)    39(39)      96.0   96.0 
JFFBF37CA  14-12     3446(3446)    35(35)      97.8   97.8 
PFFBF08CA  20-02     8467(9622)    60(49)      197.8  141.1
NFFBF87CA  17-11     3100(3100)    38(38)      81.7   81.7 
PFFBF38CA  20-03     8459(9434)    60(51)      186.3  141.0
MFFBF08CA  17-10     3375(3375)    36(36)      93.4   93.4 
KFFBF67CA  14-12     3679(3679)    38(38)      97.8   97.8 
NFFBF18CA  18-09     3600(3600)    41(41)      88.5   88.5 
PFFBF87CA  20-01     3150(3150)    36(36)      86.4   86.4 
OFFBF28CA  19-03     3801(4051)    46(42)      97.0   82.4 
OFFBF38CA  19-03     3766(4256)    46(38)      111.7  82.6 
JFFBF97CA  14-11     4560(4805)    54(49)      98.7   84.2 
KFFBF08CA  14-12     4264(4264)    43(43)      99.1   99.1 
KFFBF67CA  14-06     3824(4234)    44(40)      105.0  87.3 
OFFBF58CA  19-03     3778(3998)    45(41)      98.4   83.8 
KFFBF57CA  15-09     4734(5164)    50(46)      112.4  94.7 
KFFBF77CA  14-10     4228(4438)    53(50)      89.3   80.5 
JFFBF18CA  13-12     5885(6380)    37(35)      181.1  158.8
PFFBF56CA  20-01     7756(8600)    55(46)      186.3  141.0
KFFBF48CA  14-12     4039(4039)    41(41)      98.2   98.2 
IFFBF88CA  13-05     4929(5479)    52(50)      109.0  94.8 
MFFBF97CA  17-05     10000(10000)  54(54)      186.0  186.0
LFFBF67CA  16-03     5252(5752)    56(45)      129.2  93.8 
KFFBF47CA  15-06     4678(4678)    57(57)      82.6   82.6 
KFFBF67CA  14-12     6600(7290)    60(50)      146.4  109.6
KFFBF77CA  15-07     6090(6780)    46(42)      160.1  133.6
PFFBF68CA  20-06     7488(8168)    59(51)      160.2  126.2
MFFBF68CA  17-09     4004(4509)    48(40)      112.1  83.0 
JFFBF67CA  13-11     5923(6418)    37(35)      181.0  158.7
IFFBF38CA  13-05     5120(5310)    54(53)      100.0  94.8 
OFFBF09CA  19-07     3180(3180)    38(38)      84.2   84.2 
LFFBF57CA  16-01     5716(6150)    63(54)      114.2  90.5 
NFFBF28CA  18-03     4938(5400)    54(47)      114.7  91.0 
KFFBF67CA  14-02     4314(4524)    49(47)      96.1   87.3 
KFFBF18CA  14-12     3454(3454)    36(36)      97.0   97.0 
IFFBF87CA  13-05     4717(5077)    50(48)      105.3  94.9 
NFFBF28CA  17-03     3888(3888)    42(42)      93.2   93.2 
KFFBF87CA  14-11     3895(4095)    45(43)      96.1   87.3 
PFFBF28CA  19-11     3150(3150)    36(36)      88.5   88.5 
JFFBF08CA  14-11     4810(5310)    58(47)      112.7  83.6 
JFFBF97CA  14-10     4964(5439)    59(48)      112.7  83.6 
IFFBF58CA  13-05     5200(5580)    55(53)      105.2  94.8 
JFFBF18CA  13-12     5758(6358)    36(35)      181.0  158.7
IFFBF68CA  13-05     4935(5295)    53(52)      102.6  93.6 
JFFBF18CA  14-05     5568(5940)    56(48)      124.3  99.8 
OFFBF48CA  19-10     5764(5979)    53(50)      120.7  108.9
