ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
---------  --------  ----------  ----------  ----  ----
IFFBF47CA  13-03     1850(2030)  42(39)      51.8  44.0
OFFBF18CA  19-03     2088(2293)  45(41)      55.7  46.6
MFFBF27CA  16-12     1729(1954)  40(35)      56.6  43.5
NFFBF57CA  18-09     1280(1470)  41(36)      40.3  31.2
IFFBF96CA  13-01     1550(1730)  45(41)      42.2  34.6
HFFBF96CA  12-10     2035(2220)  42(38)      58.9  48.6
NFFBF38DA  18-07     1745(1945)  43(37)      52.2  40.5
JFFBF37CA  13-05     1905(1905)  39(39)      48.7  48.7
NFFBF67CA  18-09     2100(2290)  45(41)      55.7  46.6
IFFBF67CA  12-12     1871(2031)  40(35)      57.4  46.3
HFFBF47CA  12-12     1315(1485)  41(38)      39.5  31.9
KFFBF57CA  15-06     1730(1950)  42(39)      50.5  40.9
NFFBF87CA  18-04     1220(1220)  32(32)      37.9  37.9
JFFBF67CA  13-03     1430(1430)  38(38)      37.9  37.9
PFFBF48CA  20-03     1200(1200)  33(33)      36.2  36.2
IFFBF87CA  13-05     1373(1373)  41(41)      33.3  33.3
MFFBF38CA  17-03     1295(1520)  42(34)      45.0  30.5
LFFBF77CA  16-09     1244(1469)  39(33)      45.0  31.9
JFFBF67CA  14-10     1970(2120)  46(37)      57.5  43.1
IFFBF97CA  13-05     2062(2272)  42(40)      56.4  49.1
JFFBF97CA  14-03     1730(1730)  41(41)      41.8  41.8
LFFBF18CA  16-03     1470(1680)  35(33)      51.0  42.1
HFFBF28CA  12-08     1391(1391)  37(37)      38.1  38.1
JFFBF77CA  14-01     1795(2000)  44(39)      50.8  40.6
HFFBF48DA  12-07     2073(2278)  43(39)      59.0  48.7
KFFBF38CA  15-06     1795(2020)  44(39)      51.5  40.9
KFFBF48CA  15-05     1751(1966)  45(40)      49.1  39.1
IFFBF77CA  13-10     1359(1539)  44(40)      38.4  31.1
PFFBF28DA  20-05     2075(2255)  42(37)      61.2  48.9
PFFBF98DA  20-05     1960(1960)  39(39)      49.7  49.7
KFFBF77CA  15-05     1530(1735)  48(41)      42.5  31.9
IFFBF47CA  13-04     1755(1930)  42(40)      48.4  42.2
OFFBF77CA  19-11     1769(1989)  46(38)      52.3  38.7
OFFBF38CA  19-07     1330(1330)  39(39)      34.5  34.5
OFFBF97CA  19-10     1820(2030)  45(36)      56.2  40.4
OFFBF87DA  19-01     1380(1580)  38(34)      46.0  36.2
HFFBF17CA  12-10     1265(1430)  37(30)      47.2  34.6
IFFBF27CA  13-08     1950(1950)  44(44)      44.0  44.0
HFFBF27CA  12-11     1446(1596)  43(41)      39.4  34.0
PFFBF08CA  19-12     1778(1998)  46(38)      52.3  38.7
IFFBF77CA  13-05     1608(1608)  37(37)      43.9  43.9
KFFBF08CA  15-05     1833(2028)  45(40)      51.0  41.0
MFFBF77CA  16-12     1695(1920)  39(34)      56.5  43.4
PFFBF28DA  20-10     2098(2348)  46(41)      57.9  46.1
MFFBF08CA  17-02     1565(1760)  44(36)      48.8  35.9
IFFBF37CA  13-01     1940(2080)  41(35)      59.1  47.0
KFFBF67CA  15-06     1790(2020)  44(41)      49.2  40.9
IFFBF57CA  13-01     1880(2035)  45(35)      57.5  42.1
IFFBF77CA  13-04     1228(1228)  41(41)      30.2  30.2
HFFBF37CA  12-09     1137(1227)  33(31)      40.1  34.2
KFFBF48CA  15-06     1755(1980)  45(40)      49.7  39.0
LFFBF08CA  16-09     1286(1511)  40(34)      45.0  31.9
JFFBF08CA  13-03     1275(1435)  42(38)      37.9  30.3
NFFBF28CA  18-09     1500(1500)  32(32)      46.9  46.9
HFFBF87CA  12-12     2054(2274)  42(39)      59.0  48.7
IFFBF08CA  13-03     1838(2038)  41(36)      57.3  44.6
IFFBF57CA  13-05     2156(2386)  44(40)      59.0  48.7
JFFBF67CA  14-04     2050(2205)  48(38)      57.5  43.1
PFFBF58DA  20-05     2118(2508)  43(34)      73.4  48.9
LFFBF47CA  16-09     1273(1473)  40(33)      44.4  31.9
HFFBF27CA  12-11     1440(1585)  42(40)      39.4  34.0
KFFBF08CA  15-05     1500(1705)  47(40)      42.5  31.9
IFFBF67CA  13-04     1828(1943)  44(34)      57.2  41.9
JFFBF87DA  14-05     1350(1350)  45(45)      30.2  30.2
HFFBF97DA  12-07     1265(1440)  42(38)      37.8  30.2
OFFBF97CA  19-01     1180(1180)  37(37)      32.3  32.3
MFFBF87CA  17-02     1650(1650)  36(36)      46.3  46.3
KFFBF18CA  15-06     1707(1922)  44(39)      49.5  38.8
KFFBF67CA  15-06     2220(2220)  45(45)      49.3  49.3
KFFBF28CA  15-06     1873(2088)  46(41)      51.0  41.0
OFFBF98CA  19-07     1360(1585)  40(35)      45.5  34.0
HFFBF47CA  12-10     1281(1281)  42(42)      30.2  30.2
KFFBF77CA  15-06     1780(2000)  44(41)      49.2  40.9
IFFBF67CA  13-01     1873(2018)  45(35)      57.0  41.7
LFFBF18CA  16-04     1300(1300)  36(36)      36.3  36.3
NFFBF78DA  18-06     1740(1960)  41(37)      52.5  42.2
PFFBF58CA  20-02     1438(1668)  42(37)      45.5  34.0
PFFBF56DA  20-08     1320(1320)  36(36)      36.2  36.2
PFFBF58CA  19-12     1728(1958)  45(37)      52.3  38.7
IFFBF38CA  13-07     1580(1580)  41(41)      38.4  38.4
HFFBF38CA  12-08     1730(1730)  36(36)      47.6  47.6
HFFBF77CA  12-09     1598(1808)  40(35)      51.2  39.5
LFFBF38CA  16-09     1716(1931)  39(34)      56.6  43.5
JFFBF47CA  13-03     1400(1400)  39(39)      36.1  36.1
PFFBF08CA  20-02     1310(1310)  38(38)      34.3  34.3
KFFBF18CA  15-06     2115(2320)  43(39)      59.3  49.1
IFFBF77CA  12-12     1546(1546)  31(31)      49.1  49.1
IFFBF18CA  13-06     1840(2020)  42(39)      51.8  44.0
HFFBF47CA  12-08     1385(1385)  38(38)      36.2  36.2
IFFBF97CA  13-05     1535(1535)  40(40)      38.6  38.6
IFFBF57CA  13-01     1358(1538)  43(39)      39.5  31.9
OFFBF28CA  19-10     1858(2088)  46(37)      56.2  40.4
