ID         交易年月  總價(含車)  單價(含車)  權狀   建坪
---------  --------  ----------  ----------  -----  ----
MFFBF17CA  16-12     3198(3618)  48(40)      91.4   66.8
PFFBF38DA  20-08     2729(3242)  44(33)      99.5   62.1
JFFBF18CA  14-02     2560(2910)  48(38)      77.2   53.8
MFFBF37CA  17-09     3300(3705)  44(39)      94.7   75.6
JFFBF47CA  14-05     2345(2545)  46(43)      59.5   50.5
LFFBF77CA  16-05     2833(2833)  42(42)      66.9   66.9
JFFBF37CA  14-02     2300(2530)  44(42)      60.8   52.4
LFFBF87CA  16-04     2342(2527)  40(39)      65.6   58.0
NFFBF67DA  17-12     2300(2500)  34(32)      77.8   66.7
KFFBF37CA  15-02     2660(2660)  38(38)      70.7   70.7
LFFBF57CA  16-10     2665(2665)  43(43)      62.4   62.4
PFFBF58DA  20-05     2600(2600)  34(34)      75.5   75.5
MFFBF28CA  17-07     2720(3160)  40(38)      83.6   68.5
HFFBF17CA  12-10     3077(3077)  48(48)      64.4   64.4
JFFBF87CA  14-06     3283(3463)  45(41)      85.4   72.9
HFFBF27CA  12-10     3060(3220)  48(42)      76.3   64.4
MFFBF87CA  17-01     3158(3378)  51(47)      71.9   61.9
OFFBF58CA  19-03     2310(2435)  42(37)      65.9   55.6
LFFBF57CA  16-08     2300(2300)  33(33)      68.8   68.8
HFFBF27CA  12-10     2100(2480)  41(36)      69.0   51.6
IFFBF47CA  13-01     2275(2400)  43(35)      68.2   52.9
JFFBF77CA  14-04     3037(3237)  51(45)      71.5   59.1
HFFBF37CA  12-11     2973(3223)  46(37)      87.1   65.3
OFFBF68CA  19-06     2770(3090)  44(36)      85.0   62.8
JFFBF47CA  13-11     2899(3129)  46(45)      70.1   62.6
IFFBF47CA  13-01     2618(2618)  33(33)      78.8   78.8
NFFBF58CA  18-03     3051(3211)  41(38)      84.5   74.6
HFFBF18CA  12-08     2198(2198)  36(36)      61.6   61.6
KFFBF97CA  15-10     3403(3608)  46(40)      89.1   74.7
LFFBF28CA  16-04     3558(3558)  50(50)      70.5   70.5
IFFBF77CA  13-10     2725(2935)  44(42)      70.1   62.6
HFFBF67CA  12-11     2510(2830)  41(34)      83.6   61.9
JFFBF77DA  14-03     3488(3848)  48(39)      97.5   73.3
JFFBF57CA  13-07     2470(2470)  40(40)      61.6   61.6
IFFBF18CA  13-04     2150(2150)  40(40)      54.0   54.0
IFFBF86CA  12-10     2623(2793)  41(36)      76.6   64.0
JFFBF77CA  14-07     2420(2420)  41(41)      59.0   59.0
HFFBF07CA  12-11     1990(2150)  39(36)      60.3   51.6
OFFBF97CA  19-03     2780(2980)  46(41)      73.0   60.7
KFFBF67CA  15-05     2621(2776)  44(42)      66.8   59.2
PFFBF48DA  20-06     2525(2690)  40(37)      72.8   62.5
IFFBF17CA  13-10     2450(2450)  38(38)      63.9   63.9
OFFBF38DA  19-05     2870(3250)  39(33)      97.8   73.7
LFFBF18CA  16-06     2150(2150)  35(35)      60.8   60.8
OFFBF87CA  19-09     2385(2518)  43(38)      65.9   55.6
MFFBF77CA  17-02     1768(1768)  35(35)      50.4   50.4
IFFBF47CA  13-11     2880(2880)  41(41)      70.2   70.2
HFFBF27CA  12-11     2190(2350)  40(37)      63.7   55.0
JFFBF47CA  14-11     2300(2300)  40(40)      57.4   57.4
LFFBF18CA  16-06     1630(1630)  32(32)      50.4   50.4
LFFBF48DA  16-06     2660(2660)  34(34)      79.2   79.2
JFFBF97CA  14-05     2300(2500)  46(42)      59.5   50.5
KFFBF18CA  15-03     3555(4075)  48(35)      117.9  74.7
LFFBF57CA  15-11     3062(3462)  46(43)      81.3   66.2
JFFBF28DA  14-08     2638(2638)  40(40)      65.8   65.8
OFFBF28DA  19-10     2018(2418)  40(31)      78.0   50.3
HFFBF47CA  12-11     3007(3247)  44(36)      90.3   68.5
JFFBF08CA  14-05     2283(2483)  45(42)      59.5   50.5
IFFBF87CA  13-04     2440(2720)  46(33)      83.3   52.6
IFFBF57CA  13-01     1858(1858)  32(32)      58.4   58.4
PFFBF98DA  20-05     2540(2690)  43(38)      69.9   59.3
IFFBF57CA  13-08     2205(2205)  44(44)      50.4   50.4
JFFBF77DA  13-12     2715(2715)  41(41)      65.8   65.8
JFFBF18CA  14-04     2282(2417)  43(36)      67.6   53.2
OFFBF09CA  19-08     2400(2400)  34(34)      70.0   70.0
LFFBF38CA  16-05     1735(1735)  34(34)      50.4   50.4
KFFBF97CA  15-10     1630(1630)  32(32)      50.4   50.4
KFFBF18CA  15-02     2880(3300)  45(38)      86.4   63.4
OFFBF48CA  19-10     2130(2130)  33(33)      63.6   63.6
IFFBF57CA  13-05     2123(2323)  42(37)      62.7   51.0
LFFBF87CA  16-04     2692(3032)  43(35)      86.0   61.9
MFFBF57CA  17-06     3365(3800)  44(40)      95.2   76.0
IFFBF07CA  12-12     3176(3406)  51(49)      70.2   62.7
JFFBF67CA  14-02     2530(2700)  43(38)      71.5   59.1
KFFBF47CA  14-12     3828(4338)  48(37)      117.2  79.6
JFFBF77DA  14-02     2865(3055)  46(41)      74.2   62.2
LFFBF87CA  16-04     2890(3080)  46(41)      75.8   63.5
OFFBF58CA  19-06     2820(3200)  43(38)      84.4   65.2
IFFBF37CA  13-09     2560(2700)  48(42)      64.7   53.8
IFFBF27CA  13-09     2450(2450)  41(41)      60.2   60.2
JFFBF37CA  13-10     3010(3350)  43(34)      97.2   69.9
MFFBF87CA  17-10     2620(3060)  40(38)      81.3   66.2
JFFBF87CA  13-12     2610(2775)  41(37)      75.8   64.0
LFFBF68EA  16-06     2050(2050)  36(36)      56.7   56.7
IFFBF18CA  13-05     2626(2927)  49(39)      75.5   53.8
LFFBF97CA  16-10     1668(1668)  32(32)      52.1   52.1
PFFBF68CA  19-12     2530(3010)  40(33)      90.7   63.9
PFFBF58CA  20-01     2740(2980)  42(35)      85.9   65.2
PFFBF66DA  20-06     2255(2400)  40(36)      66.3   56.0
KFFBF38CA  15-03     2255(2255)  39(39)      57.3   57.3
JFFBF58CA  14-04     3143(3313)  45(41)      80.4   69.4
JFFBF38DA  14-02     2758(2938)  45(40)      74.0   61.9
HFFBF87CA  12-11     2690(2950)  43(35)      84.3   62.5
JFFBF18CA  14-11     2800(2800)  45(45)      61.7   61.7
MFFBF09CA  17-08     1862(1862)  32(32)      58.5   58.5
JFFBF18DA  14-02     3420(3740)  46(40)      94.5   73.7
JFFBF67CA  14-02     2920(3300)  43(36)      92.2   67.2
IFFBF27CA  13-09     2760(3180)  40(32)      100.8  68.8
JFFBF77CA  14-02     2920(3090)  49(43)      71.5   59.1
IFFBF87CA  13-06     2965(3345)  48(40)      82.8   61.2
IFFBF47CA  13-01     2085(2300)  40(38)      60.3   51.6
MFFBF87CA  17-10     2674(2894)  35(33)      88.7   75.8
JFFBF08CA  14-01     2329(2564)  44(42)      61.5   52.6
MFFBF77CA  17-09     2920(3420)  48(40)      85.3   60.7
IFFBF18CA  13-02     2165(2375)  41(39)      60.8   52.4
NFFBF48CA  18-05     3220(3680)  42(38)      95.9   76.0
JFFBF97CA  14-02     2760(3200)  47(43)      74.3   59.2
HFFBF57CA  12-11     2748(2988)  42(34)      87.8   66.0
IFFBF87CA  12-12     2874(2874)  36(36)      78.8   78.8
PFFBF78CA  20-03     2640(2870)  41(38)      76.5   63.9
LFFBF87CA  16-08     2300(2300)  34(34)      67.5   67.5
PFFBF09DA  20-07     2390(2590)  45(38)      67.6   53.2
HFFBF67CA  12-11     3160(3530)  46(39)      89.7   68.0
OFFBF58CA  19-03     3453(3863)  45(40)      96.2   77.1
JFFBF38DA  14-02     2808(3148)  45(37)      86.0   61.9
KFFBF28CA  15-01     2470(2880)  46(38)      76.0   54.2
LFFBF88CA  16-07     2400(2400)  35(35)      67.7   67.7
NFFBF68CA  18-02     3458(3918)  47(42)      93.4   73.5
KFFBF48CA  15-12     3115(3280)  42(37)      89.1   74.8
NFFBF66CA  18-07     2410(2410)  37(37)      65.5   65.5
JFFBF77CA  14-02     2630(2820)  45(39)      71.5   59.1
MFFBF58DA  17-07     2138(2538)  42(34)      74.4   51.0
IFFBF57CA  13-12     2594(2724)  48(42)      64.7   53.8
