ID         交易年月  總價(含車)  單價(含車)  權狀   建坪 
---------  --------  ----------  ----------  -----  -----
OFFBF76CA  19-04     4494(4884)  44(39)      123.9  101.7
PFFBF98DA  20-06     3500(3500)  34(34)      101.6  101.6
JFFBF27CA  14-09     4050(4620)  49(38)      121.1  83.5 
KFFBF77CA  15-03     4180(4600)  42(40)      116.3  98.6 
NFFBF18CA  18-03     3493(3928)  41(38)      104.0  84.9 
LFFBF08CA  16-03     3450(3450)  35(35)      99.8   99.8 
MFFBF97CA  17-09     3670(4340)  37(35)      123.9  98.5 
KFFBF37CA  15-03     3340(3780)  40(38)      100.7  82.9 
PFFBF87DA  20-10     3500(3500)  41(41)      84.8   84.8 
LFFBF97CA  16-05     3156(3576)  38(35)      100.9  83.1 
HFFBF07CA  12-10     3360(3360)  36(36)      93.5   93.5 
KFFBF97CA  15-05     4668(5108)  47(44)      116.9  99.1 
KFFBF87CA  14-12     4288(4938)  43(40)      124.6  98.6 
HFFBF17CA  12-10     3810(3810)  37(37)      103.2  103.2
PFFBF28CA  19-11     2880(2880)  33(33)      88.3   88.3 
KFFBF78CA  15-07     2650(2650)  33(33)      80.5   80.5 
IFFBF18CA  13-10     2672(2672)  32(32)      83.1   83.1 
PFFBF28CA  20-04     3050(3050)  34(34)      88.7   88.7 
KFFBF57CA  15-01     3086(3496)  37(35)      100.5  83.3 
KFFBF87CA  15-04     5095(5755)  46(42)      136.8  110.2
KFFBF77CA  14-12     3878(4388)  46(36)      121.1  83.5 
KFFBF08CA  15-09     4908(5478)  47(39)      141.7  104.1
OFFBF68CA  19-03     3438(3818)  40(37)      104.0  84.9 
HFFBF37CA  12-10     3845(3845)  41(41)      94.6   94.6 
KFFBF67CA  15-01     3148(3588)  38(36)      100.8  83.0 
PFFBF58CA  19-12     3695(4080)  43(39)      105.1  85.3 
OFFBF76CA  19-04     3648(4128)  43(37)      110.2  85.1 
JFFBF57CA  14-10     3237(3237)  39(39)      82.5   82.5 
LFFBF97CA  16-10     4938(4938)  38(38)      130.3  130.3
NFFBF98CA  18-05     4310(4880)  48(38)      127.2  90.6 
OFFBF66CA  19-06     2828(2828)  32(32)      89.3   89.3 
KFFBF58CA  14-12     3838(4258)  39(36)      116.9  99.1 
PFFBF37DA  20-06     3000(3000)  36(36)      82.9   82.9 
KFFBF17CA  15-10     3332(3332)  38(38)      87.5   87.5 
PFFBF38DA  20-06     2620(2620)  33(33)      80.1   80.1 
LFFBF37CA  15-12     4658(5288)  45(37)      141.7  104.1
KFFBF18CD  15-07     3110(3320)  37(36)      92.1   83.2 
MFFBF38CD  17-03     4978(5608)  48(40)      141.7  104.1
OFFBF38CA  19-01     3528(4078)  42(34)      121.1  83.5 
MFFBF68CA  17-07     3678(3888)  44(41)      95.3   82.8 
KFFBF28CA  15-04     3178(3178)  35(35)      90.9   90.9 
KFFBF87CA  15-06     2800(2800)  33(33)      85.3   85.3 
OFFBF18CA  19-04     3578(3998)  43(37)      108.7  83.6 
KFFBF18CA  15-07     3189(3189)  38(38)      84.8   84.8 
NFFBF58CA  18-06     2850(2850)  35(35)      80.4   80.4 
KFFBF47CA  15-03     3568(4028)  43(40)      101.4  83.6 
LFFBF08CA  16-05     3165(3385)  38(37)      92.2   83.3 
HFFBF17CA  12-10     3460(3460)  34(34)      102.4  102.4
NFFBF77CA  18-09     3612(4052)  43(37)      108.6  83.5 
KFFBF47CA  14-12     4090(4705)  40(34)      137.8  102.1
